company_name,price,change,perc_change,volume
"Rhythm Pharmaceuticals, Inc.",105.20,4.43,4.4,0.708972M
Atlantic Union Bankshares Corporation,35.99,1.44,4.17,0.50898M
"Apollo Global Management, Inc.",127.68,5.24,4.28,4.6M
"Kontoor Brands, Inc.",81.85,3.3,4.2,0.447681M
"Sprouts Farmers Market, Inc.",111.13,4.54,4.26,3.2M
"Community Financial System, Inc.",58.53,2.34,4.16,0.131547M
United States Antimony Corporation,17.42,0.71,4.25,52.1M
"Lemonade, Inc.",52.54,2.18,4.34,1.6M
"F&G Annuities & Life, Inc.",30.13,1.22,4.22,0.235538M
"THOR Industries, Inc.",105.31,4.26,4.22,0.460014M
First Busey Corporation,23.75,0.96,4.21,0.416583M
"Heartflow, Inc.",34.62,1.4,4.21,0.321645M
Peabody Energy Corporation,34.86,1.44,4.31,8.1M
"Delta Air Lines, Inc.",61.25,2.53,4.31,9.7M
Nokia Oyj,5.47,0.22,4.29,49.3M
Jackson Financial Inc.,99.50,4.02,4.21,0.356341M
Brunswick Corporation,62.88,2.62,4.35,0.680541M
Ares Management Corporation,149.60,5.97,4.16,3.4M
Diodes Incorporated,53.77,2.19,4.25,0.357194M
"WesBanco, Inc.",33.75,1.35,4.17,0.693548M
"Alphatec Holdings, Inc.",13.81,0.57,4.31,2.0M
"Ramaco Resources, Inc.",54.55,2.13,4.06,3.5M
Blue Owl Capital Inc.,16.76,0.64,3.97,10.8M
"StandardAero, Inc.",28.64,1.13,4.11,1.9M
Western Alliance Bancorporation,82.09,3.24,4.11,1.2M
Eagle Materials Inc.,238.97,9.35,4.07,0.308336M
"Compass, Inc.",7.19,0.27,3.9,9.1M
Sezzle Inc.,80.01,3.0,3.9,1.3M
Meritage Homes Corporation,69.43,2.64,3.95,0.609338M
"Brighthouse Financial, Inc.",49.92,1.88,3.91,0.931773M
"Avis Budget Group, Inc.",155.49,6.01,4.02,0.790736M
"Enova International, Inc.",110.38,4.4,4.15,0.172719M
MP Materials Corp.,98.69,3.63,3.82,39.1M
"Apollo Global Management, Inc.",67.94,2.61,4.0,0.120444M
Bloom Energy Corporation,114.07,4.16,3.78,13.4M
Webster Financial Corporation,59.46,2.28,3.98,0.851678M
FB Financial Corporation,58.60,2.29,4.07,0.750218M
"Stanley Black & Decker, Inc.",67.03,2.54,3.94,2.3M
Taylor Morrison Home Corporation,62.91,2.31,3.82,0.917181M
"Domino's Pizza, Inc.",424.23,15.97,3.91,1.6M
"United Airlines Holdings, Inc.",103.15,3.9,3.93,6.2M
ESAB Corporation,120.35,4.61,3.98,0.355973M
Wayfair Inc.,79.17,2.96,3.88,2.9M
Associated Banc-Corp,26.36,0.99,3.9,1.2M
BBB Foods Inc.,26.44,1.02,4.01,0.646705M
"Columbia Banking System, Inc.",26.74,1.03,4.01,5.0M
Cathay General Bancorp,49.33,1.86,3.92,0.392909M
"Hagerty, Inc.",12.22,0.46,3.94,0.163453M
"Flagstar Financial, Inc.",12.05,0.45,3.93,3.1M
Rocket Lab Corporation,68.03,2.61,3.99,23.6M
CVB Financial Corp.,19.28,0.72,3.88,0.655627M
"ServisFirst Bancshares, Inc.",81.01,2.97,3.81,0.132072M
"Stock Yards Bancorp, Inc.",70.68,2.62,3.85,0.116332M
Citigroup Inc.,99.81,3.71,3.86,27.0M
"American Eagle Outfitters, Inc.",15.85,0.56,3.63,7.5M
Synchrony Financial,72.81,2.67,3.8,4.9M
Roblox Corporation,133.29,5.05,3.94,8.0M
BancFirst Corporation,125.38,4.54,3.75,0.114088M
"Group 1 Automotive, Inc.",439.61,15.72,3.71,0.307396M
"Zillow Group, Inc.",69.51,2.54,3.79,0.643334M
American Airlines Group Inc.,12.19,0.45,3.83,64.1M
BRP Inc.,67.72,2.51,3.85,0.357681M
"Tri Pointe Homes, Inc.",32.03,1.13,3.66,0.512394M
Blackstone Inc.,163.87,5.71,3.61,3.9M
PVH Corp.,83.11,3.03,3.79,0.639985M
"Pinnacle Financial Partners, Inc.",91.88,3.29,3.71,1.4M
Banner Corporation,64.03,2.37,3.84,0.234987M
Accelerant Holdings,14.57,0.52,3.7,0.729792M
"Nicolet Bankshares, Inc.",135.40,4.8,3.68,0.075352M
"Zillow Group, Inc.",72.31,2.55,3.66,2.2M
TopBuild Corp.,439.32,14.77,3.48,0.259812M
"Dream Finders Homes, Inc.",24.16,0.83,3.56,0.333128M
Viking Holdings Ltd,61.47,2.17,3.66,2.3M
Synovus Financial Corp.,47.84,1.66,3.59,1.2M
"Cavco Industries, Inc.",510.97,17.62,3.57,0.136354M
Ero Copper Corp.,23.57,0.86,3.79,1.9M
"SolarEdge Technologies, Inc.",37.73,1.27,3.48,2.7M
Stevanato Group S.p.A.,24.13,0.82,3.52,0.201549M
Lennar Corporation,122.23,4.21,3.57,3.7M
"PulteGroup, Inc.",124.90,4.41,3.66,2.2M
"Fortune Brands Innovations, Inc.",49.83,1.71,3.54,1.3M
"Ryan Specialty Holdings, Inc.",56.42,1.98,3.64,1.4M
"Glacier Bancorp, Inc.",49.06,1.67,3.54,0.692321M
"First Interstate BancSystem, Inc.",32.30,1.09,3.49,0.847475M
Cushman & Wakefield plc,15.55,0.51,3.36,1.3M
"RXO, Inc.",16.94,0.6,3.67,1.5M
Credit Acceptance Corporation,504.25,16.11,3.3,0.083949M
LCI Industries,87.77,3.0,3.54,0.174711M
Louisiana-Pacific Corporation,92.79,3.06,3.4,0.697721M
Seacoast Banking Corporation of Florida,31.62,1.05,3.43,0.465027M
"Expedia Group, Inc.",223.12,7.48,3.47,1.3M
Hancock Whitney Corporation,62.53,2.04,3.37,1.1M
"Eastern Bankshares, Inc.",18.86,0.64,3.51,4.4M
"Zimmer Biomet Holdings, Inc.",98.40,3.31,3.48,1.1M
Las Vegas Sands Corp.,48.03,1.56,3.36,5.5M
Cognex Corporation,45.23,1.49,3.41,1.4M
"FirstCash Holdings, Inc.",158.93,5.29,3.44,0.247673M
"BlackRock, Inc.","1,194.52",39.4,3.41,1.1M
Main Street Capital Corporation,58.46,1.89,3.33,0.759103M
"Airbnb, Inc.",122.89,4.03,3.39,5.9M
EnerSys,119.47,3.91,3.38,0.593453M
Six Flags Entertainment Corporation,21.36,0.76,3.69,2.1M
Hilton Grand Vacations Inc.,43.00,1.39,3.34,0.665265M
Trustmark Corporation,39.61,1.28,3.34,0.242441M
Renasant Corporation,36.57,1.18,3.33,0.496843M
"Texas Capital Bancshares, Inc.",85.27,2.74,3.32,0.268981M
"Trex Company, Inc.",53.15,1.78,3.47,1.5M
Beacon Financial Corporation,25.08,0.77,3.17,0.859502M
Masco Corporation,68.13,2.14,3.24,1.6M
"Global Business Travel Group, Inc.",7.99,0.27,3.43,0.866994M
