company_name,price,change,perc_change,volume
Ivanhoe Electric Inc.,15.97,1.56,10.83,2.7M
"Power Solutions International, Inc.",94.96,9.24,10.78,0.658191M
Symbotic Inc.,70.51,6.72,10.53,1.9M
"VNET Group, Inc.",9.41,0.9,10.64,6.2M
"AST SpaceMobile, Inc.",90.5,8.47,10.33,12.7M
"SoundHound AI, Inc.",19.14,1.78,10.25,51.5M
Centrus Energy Corp.,400.01,36.3,9.98,1.9M
"Best Buy Co., Inc.",77.46,7.03,9.97,4.2M
"Entegris, Inc.",91.91,8.27,9.89,3.0M
Broadcom Inc.,356.7,32.07,9.88,42.5M
TransAlta Corporation,17.09,1.5,9.62,6.6M
MKS Inc.,133.03,11.77,9.71,1.0M
ON Semiconductor Corporation,50.11,4.37,9.55,11.5M
American Superconductor Corporation,61.57,5.33,9.48,1.1M
"Advance Auto Parts, Inc.",54.04,4.56,9.22,2.2M
Pony AI Inc.,22.19,1.9,9.36,6.0M
"Five Below, Inc.",151.18,12.69,9.16,2.0M
"Ameresco, Inc.",41.69,3.51,9.19,0.858648M
Polaris Inc.,61.38,5.08,9.02,1.4M
"Oscar Health, Inc.",20.4,1.63,8.68,13.2M
Century Aluminum Company,32.91,2.62,8.65,2.2M
"Monolithic Power Systems, Inc.",981.67,77.23,8.54,0.738877M
Harmony Gold Mining Company Limited,19.86,1.59,8.73,5.1M
"MARA Holdings, Inc.",20.24,1.6,8.61,42.0M
"DICK'S Sporting Goods, Inc.",229.94,18.36,8.68,1.5M
"Burlington Stores, Inc.",276.23,21.71,8.53,1.3M
Banco BBVA Argentina S.A.,9.96,0.77,8.38,2.0M
Rambus Inc.,97.01,7.44,8.31,2.0M
"Coeur Mining, Inc.",21.18,1.62,8.31,12.1M
"Vishay Intertechnology, Inc.",15.88,1.22,8.32,0.954533M
"Boot Barn Holdings, Inc.",177.49,13.67,8.34,0.465923M
Camtek Ltd.,118.97,8.92,8.11,0.427031M
Peabody Energy Corporation,33.42,2.53,8.21,6.1M
Credo Technology Group Holding Ltd,149.9,11.07,7.97,5.8M
"C3.ai, Inc.",19.38,1.47,8.2,7.6M
Signet Jewelers Limited,99.87,7.56,8.19,0.68195M
Taiwan Semiconductor Manufacturing Company Limited,303.09,22.43,7.99,18.8M
"Amkor Technology, Inc.",30.46,2.2,7.78,2.3M
Neptune Insurance Holdings Inc.,28.52,2.04,7.69,0.419026M
"Netskope, Inc.",23.44,1.69,7.78,2.8M
Hecla Mining Company,13.48,0.94,7.46,16.7M
Enovix Corporation,13.02,0.95,7.87,11.7M
Sibanye Stillwater Limited,11.79,0.84,7.67,7.9M
Murphy Oil Corporation,28.77,2.0,7.49,2.4M
Manchester United plc,17.13,1.17,7.33,0.494408M
Seabridge Gold Inc.,26.36,1.81,7.37,1.2M
"IES Holdings, Inc.",387.84,26.28,7.27,0.153466M
Summit Therapeutics Inc.,22.93,1.58,7.4,5.1M
Fluor Corporation,47.22,3.24,7.37,4.6M
"Advanced Energy Industries, Inc.",182.15,12.53,7.39,0.36766M
Lumentum Holdings Inc.,160.56,10.95,7.32,2.7M
Olin Corporation,23.89,1.6,7.2,2.3M
"Bitmine Immersion Technologies, Inc.",56.51,4.03,7.69,40.4M
Cognex Corporation,43.74,2.96,7.26,1.9M
The Chemours Company,13.44,0.89,7.09,3.3M
IREN Limited,64.14,4.37,7.31,45.0M
Albemarle Corporation,96.33,6.47,7.2,3.8M
GE Vernova Inc.,648.23,43.67,7.22,2.9M
GDS Holdings Limited,35.74,2.43,7.3,2.3M
"Academy Sports and Outdoors, Inc.",52.87,3.49,7.07,2.7M
Celestica Inc.,261.11,17.39,7.13,3.2M
Vicor Corporation,51.96,3.4,7.0,0.252569M
Regencell Bioscience Holdings Limited,17.99,1.18,7.02,0.256374M
Dutch Bros Inc.,52.33,3.44,7.05,6.0M
HP Inc.,27.34,1.79,7.01,12.4M
Brookfield Business Corporation,36.17,2.41,7.14,0.138028M
NIO Inc.,7.18,0.47,6.94,63.3M
Onto Innovation Inc.,129.5,8.16,6.72,1.4M
Hesai Group,23.53,1.48,6.71,4.1M
"MACOM Technology Solutions Holdings, Inc.",130.53,8.35,6.83,0.933093M
Transportadora de Gas del Sur S.A.,23.87,1.52,6.8,0.631454M
Brookfield Business Partners L.P.,35.23,2.25,6.82,0.03791M
Pampa Energía S.A.,67.82,4.36,6.88,0.314569M
"American Eagle Outfitters, Inc.",15.28,0.97,6.81,6.9M
Mobileye Global Inc.,15.2,0.96,6.74,7.6M
IAMGOLD Corporation,13.56,0.86,6.73,11.8M
"Ollie's Bargain Outlet Holdings, Inc.",132.85,8.25,6.62,0.854305M
Microchip Technology Incorporated,64.39,3.98,6.59,7.7M
"GRAIL, Inc.",70.44,4.31,6.52,0.599123M
Diodes Incorporated,51.58,3.21,6.64,0.42667M
Aris Mining Corporation,10.76,0.69,6.85,0.818738M
Southern Copper Corporation,133.24,8.14,6.5,1.7M
United Microelectronics Corporation,7.64,0.47,6.48,7.9M
Gold Fields Limited,43.64,2.64,6.44,3.2M
"Comstock Resources, Inc.",19.6,1.18,6.41,2.3M
Archer Aviation Inc.,12.77,0.8,6.64,57.0M
"Steven Madden, Ltd.",34.32,2.07,6.42,1.2M
Vistra Corp.,209.51,12.65,6.42,3.6M
Synaptics Incorporated,65.93,3.91,6.3,0.276978M
POSCO Holdings Inc.,47.98,2.85,6.31,0.156008M
"Viasat, Inc.",34.7,2.08,6.38,1.9M
Cameco Corporation,92.14,5.49,6.34,6.5M
Crescent Energy Company,8.6,0.52,6.37,3.5M
"Crocs, Inc.",81.49,4.79,6.25,1.7M
Kingsoft Cloud Holdings Limited,13.43,0.8,6.33,1.7M
Teck Resources Limited,44.57,2.71,6.47,4.0M
Sociedad Química y Minera de Chile S.A.,43.34,2.57,6.3,1.3M
Materion Corporation,125.38,7.28,6.17,0.115364M
STMicroelectronics N.V.,28.8,1.69,6.23,4.0M
Perpetua Resources Corp.,27.39,1.6,6.2,4.5M
"DigitalOcean Holdings, Inc.",39.57,2.28,6.11,3.5M
Ero Copper Corp.,22.71,1.37,6.42,0.817775M
"Pinterest, Inc.",32.29,1.89,6.22,8.6M
"Skyworks Solutions, Inc.",73.37,4.21,6.09,2.9M
Allied Gold Corporation,18.83,1.09,6.12,0.123015M
"Micron Technology, Inc.",192.77,11.17,6.15,19.6M
Valvoline Inc.,35.26,1.99,6.0,2.3M
Vertiv Holdings Co,179.02,10.01,5.92,10.5M
Hudbay Minerals Inc.,17.58,1.01,6.07,6.3M
Pan American Silver Corp.,40.86,2.36,6.13,7.2M
SiTime Corporation,294.44,16.79,6.05,0.21861M
"ASE Technology Holding Co., Ltd.",11.73,0.65,5.84,6.2M
"Peloton Interactive, Inc.",7.37,0.41,5.97,11.1M
Driven Brands Holdings Inc.,15.13,0.83,5.8,1.7M
Karman Holdings Inc.,79.02,4.31,5.77,0.877379M
Blue Owl Technology Finance Corp.,14.24,0.79,5.87,0.592479M
V.F. Corporation,14.05,0.76,5.68,7.0M
"Allegro MicroSystems, Inc.",27.41,1.49,5.75,1.3M
"Kontoor Brands, Inc.",78.56,4.23,5.69,0.314131M
Wingstop Inc.,254.9,13.65,5.66,0.604564M
EnerSys,115.62,6.28,5.74,0.618501M
Ciena Corporation,164.81,8.87,5.69,2.7M
Brookfield Renewable Partners L.P.,27.8,1.51,5.74,0.456162M
The Estée Lauder Companies Inc.,92.75,5.1,5.82,3.2M
Valaris Limited,49.42,2.67,5.71,0.772112M
MINISO Group Holding Limited,22.43,1.18,5.58,1.4M
First Majestic Silver Corp.,13.99,0.76,5.7,19.9M
"Qorvo, Inc.",87.92,4.68,5.62,0.995369M
"Macy's, Inc.",17.44,0.93,5.66,10.8M
"Dollar Tree, Inc.",92.59,4.98,5.68,7.2M
ICL Group Ltd,6.84,0.36,5.63,1.3M
"Sterling Infrastructure, Inc.",355.27,18.64,5.54,0.401553M
Silicon Laboratories Inc.,129.05,6.87,5.62,0.189279M
Jefferies Financial Group Inc.,53.74,2.85,5.6,6.0M
"FormFactor, Inc.",40.28,2.14,5.61,0.984589M
WeRide Inc.,10.76,0.59,5.8,5.5M
"ACM Research, Inc.",38.62,2.03,5.56,0.958711M
LandBridge Company LLC,51.79,2.93,5.99,0.495127M
Fabrinet,382.54,20.6,5.69,0.354827M
Talen Energy Corporation,435.83,23.0,5.57,0.702197M
"Patterson-UTI Energy, Inc.",5.67,0.3,5.59,8.6M
"Mirion Technologies, Inc.",24.41,1.29,5.58,4.2M
"Dillard's, Inc.",610.72,31.4,5.42,0.08903M
NXP Semiconductors N.V.,216.7,11.33,5.52,2.5M
"Delek US Holdings, Inc.",34.01,1.7,5.26,1.0M
Nova Ltd.,319.06,16.78,5.55,0.491012M
QUALCOMM Incorporated,161.78,8.26,5.38,10.0M
"Tesla, Inc.",435.9,22.41,5.42,77.7M
"Teradyne, Inc.",139.13,7.05,5.34,3.1M
"Medpace Holdings, Inc.",527.4,26.18,5.22,0.44327M
Shake Shack Inc.,91.38,4.62,5.33,0.856757M
"Tapestry, Inc.",114.07,5.85,5.41,1.8M
"Texas Roadhouse, Inc.",171.96,8.63,5.28,1.6M
"Figma, Inc.",64.28,3.22,5.27,8.0M
"The Bancorp, Inc.",76.36,3.8,5.24,0.378254M
"NRG Energy, Inc.",168.74,8.31,5.18,1.7M
Brookfield Renewable Corporation,39.63,2.01,5.34,0.959959M
"SharpLink Gaming, Inc.",16.13,0.8,5.25,12.5M
Alamos Gold Inc.,34.74,1.69,5.1,2.6M
Western Alliance Bancorporation,78.88,3.95,5.27,1.6M
